day	symbiosis	individual	name	pxl	mm2	condition
35	apo	p2	4	32955	7,26	starved
35	apo	p2	5	51676	11,39	starved
35	apo	p2	6	71957	15,85	starved
35	apo	p2	7	31221	6,88	starved
35	apo	p2	8	42076	9,27	starved
35	apo	p2	9	47048	10,37	starved
35	apo	p2	10	19198	4,23	starved
35	apo	p2	11	100971	22,25	starved
35	apo	p2	12	32733	7,21	starved
35	apo	p2	13	60842	13,41	starved
35	apo	p2	14	193253	42,58	starved
35	apo	p2	15	57624	12,70	starved
35	apo	p2	16	71804	15,82	starved
35	apo	p3	1	60031	13,23	starved
35	apo	p3	2	96174	21,19	starved
35	apo	p3	3	65710	14,48	starved
35	apo	p3	4	72108	15,89	starved
35	apo	p3	5	23675	5,22	starved
35	apo	p3	6	32485	7,16	starved
35	apo	p3	7	54845	12,08	starved
35	apo	p3	8	49964	11,01	starved
35	apo	p3	9	75372	16,61	starved
35	apo	p3	10	62392	13,75	starved
35	apo	p4	1	84141	18,54	starved
35	sym	p4	2	82270	18,13	starved
35	sym	p4	3	64955	14,31	starved
35	sym	p4	4	80412	17,72	starved
35	sym	p4	5	116263	25,62	starved
35	sym	p4	6	73682	16,23	starved
35	sym	p4	7	75918	16,73	starved
35	sym	p4	8	160573	35,38	starved
35	sym	p4	9	119968	26,43	starved
35	sym	p4	10	53855	11,87	starved
35	sym	p4	11	93335	20,57	starved
35	sym	p4	12	92882	20,47	starved
35	sym	p4	13	76108	16,77	starved
35	sym	p4	14	86288	19,01	starved
35	sym	p4	15	80408	17,72	starved
35	sym	p4	16	47256	10,41	starved
35	sym	p4	17	122644	27,02	starved
35	sym	p5	1	98096	21,61	starved
35	sym	p5	2	90428	19,92	starved
35	sym	p5	3	297994	65,66	starved
35	sym	p5	4	112518	24,79	starved
35	sym	p5	5	79973	17,62	starved
35	sym	p5	6	209114	46,08	starved
35	sym	p5	7	84036	18,52	starved
35	sym	p5	8	232366	51,20	starved
35	sym	p5	9	127717	28,14	starved
35	sym	p5	10	161074	35,49	starved
35	sym	p5	11	252699	55,68	starved
35	sym	p5	12	130934	28,85	starved
35	sym	p5	13	201882	44,48	starved
35	sym	p6	14	221590	48,82	starved
35	sym	p6	2	258829	57,03	starved
