,experiment,day,individual,mm2,condition,feedingreg,reltime,log body size
3862,Cyclicfeeding_starving,10,P12_5,9.81,RES,FED,10,2.2834022735772717
3863,Cyclicfeeding_starving,10,P12_6,12.62,RES,FED,10,2.5352828571130672
3864,Cyclicfeeding_starving,10,P13_1,11.85,RES,FED,10,2.47232786758114
3865,Cyclicfeeding_starving,10,P13_2,11.1,RES,FED,10,2.4069451083182885
3866,Cyclicfeeding_starving,10,P13_3,9.93,RES,FED,10,2.295560478057081
3867,Cyclicfeeding_starving,10,P13_4,10.89,RES,FED,10,2.387844936944869
3868,Cyclicfeeding_starving,10,P13_5,8.97,RES,FED,10,2.1938856760707046
3869,Cyclicfeeding_starving,10,P13_6,11.29,RES,FED,10,2.4239173781615704
3870,Cyclicfeeding_starving,10,P14_1,8.64,RES,FED,10,2.1564025828159643
3871,Cyclicfeeding_starving,10,P14_2,8.2,RES,FED,10,2.1041341542702074
3872,Cyclicfeeding_starving,10,P14_3,10.73,RES,FED,10,2.373043556642607
3873,Cyclicfeeding_starving,10,P14_4,10.1,RES,FED,10,2.312535423847214
3874,Cyclicfeeding_starving,10,P14_5,7.58,RES,FED,10,2.0255131996542803
3875,Cyclicfeeding_starving,10,P14_6,10.74,RES,FED,10,2.3739750890807185
3876,Cyclicfeeding_starving,10,P15_1,9.98,RES,FED,10,2.300583090323373
3877,Cyclicfeeding_starving,10,P15_2,10.63,RES,FED,10,2.363680192353857
3878,Cyclicfeeding_starving,10,P15_3,10.4,RES,FED,10,2.341805806147327
3879,Cyclicfeeding_starving,10,P15_4,6.08,RES,FED,10,1.8050046959780757
3880,Cyclicfeeding_starving,10,P15_5,7.22,RES,FED,10,1.9768549529047348
3881,Cyclicfeeding_starving,10,P15_6,8.76,RES,FED,10,2.1701959049483
3882,Cyclicfeeding_starving,10,P16_1,8.15,RES,FED,10,2.0980179272527715
3883,Cyclicfeeding_starving,10,P16_2,12.08,RES,FED,10,2.4915511925066687
3884,Cyclicfeeding_starving,10,P16_3,11.42,RES,FED,10,2.435366204227864
3885,Cyclicfeeding_starving,10,P16_4,7.49,RES,FED,10,2.0135687975291283
3886,Cyclicfeeding_starving,10,P16_5,10.66,RES,FED,10,2.3664984187376983
3887,Cyclicfeeding_starving,10,P16_6,13.14,RES,FED,10,2.5756610130564646
3930,Cyclicfeeding_starving,10,P9_1,9.73,RES,FED,10,2.2752138961979136
3931,Cyclicfeeding_starving,10,P9_2,6.06,RES,FED,10,1.801709800081223
3932,Cyclicfeeding_starving,10,P9_3,9.26,RES,FED,10,2.225704048658088
3933,Cyclicfeeding_starving,10,P9_4,9.14,RES,FED,10,2.2126603854660587
3934,Cyclicfeeding_starving,10,P9_5,9.64,RES,FED,10,2.265921108622454
3935,Cyclicfeeding_starving,10,P9_6,5.67,RES,FED,10,1.7351891177396608
3942,Cyclicfeeding_starving,12,P10_1,15.88,RES,STARVED,2,2.7650604558189897
3943,Cyclicfeeding_starving,12,P10_2,18.22,RES,STARVED,2,2.9025198918318122
3944,Cyclicfeeding_starving,12,P10_3,14.17,RES,STARVED,2,2.6511270537025893
3945,Cyclicfeeding_starving,12,P10_4,12.34,RES,STARVED,2,2.5128460184772416
3946,Cyclicfeeding_starving,12,P10_5,10.07,RES,STARVED,2,2.309560706730471
3947,Cyclicfeeding_starving,12,P10_6,7.68,RES,STARVED,2,2.038619547159581
3948,Cyclicfeeding_starving,12,P11_1,8.47,RES,STARVED,2,2.136530508663963
3949,Cyclicfeeding_starving,12,P11_2,12.5,RES,STARVED,2,2.5257286443082556
3950,Cyclicfeeding_starving,12,P11_3,17.99,RES,STARVED,2,2.8898160479624417
3951,Cyclicfeeding_starving,12,P11_4,13.74,RES,STARVED,2,2.620311286794203
3952,Cyclicfeeding_starving,12,P11_5,14.9,RES,STARVED,2,2.7013612129514133
3953,Cyclicfeeding_starving,12,P11_6,10.6,RES,STARVED,2,2.3608540011180215
3954,Cyclicfeeding_starving,12,P12_1,10.98,RES,STARVED,2,2.3960754360813845
3955,Cyclicfeeding_starving,12,P12_2,11.76,RES,STARVED,2,2.464703942470481
3956,Cyclicfeeding_starving,12,P12_3,8.27,RES,STARVED,2,2.1126345090356
3957,Cyclicfeeding_starving,12,P12_4,8.05,RES,STARVED,2,2.0856720914304723
3958,Cyclicfeeding_starving,12,P12_5,11.4,RES,STARVED,2,2.4336133554004498
3959,Cyclicfeeding_starving,12,P12_6,10.93,RES,STARVED,2,2.391511302188447
3960,Cyclicfeeding_starving,12,P13_1,15.37,RES,STARVED,2,2.7324175575505043
3961,Cyclicfeeding_starving,12,P13_2,16.19,RES,STARVED,2,2.784393767689544
3962,Cyclicfeeding_starving,12,P13_3,14.57,RES,STARVED,2,2.6789646202071133
3963,Cyclicfeeding_starving,12,P13_4,10.72,RES,STARVED,2,2.372111155642656
3964,Cyclicfeeding_starving,12,P13_5,8.07,RES,STARVED,2,2.0881534822818573
3965,Cyclicfeeding_starving,12,P13_6,10.2,RES,STARVED,2,2.322387720290225
3966,Cyclicfeeding_starving,12,P14_1,10.62,RES,STARVED,2,2.362739015813793
3967,Cyclicfeeding_starving,12,P14_2,9.84,RES,STARVED,2,2.286455711064162
