,Boots value,Legend
b_2.apo,-0.0240583482156293,b_2.apo
b_1.symb,0.203787804218842,b_1.symb
b_2.symb,-0.0080947185843244,b_2.symb
b_1.apo,0.182824723033813,b_1.apo
b_2.apo,-0.0240100375483395,b_2.apo
b_1.symb,0.217375137443061,b_1.symb
b_2.symb,-0.0078406588566949,b_2.symb
b_1.apo,0.179007769431706,b_1.apo
b_2.apo,-0.0245475560299535,b_2.apo
b_1.symb,0.13451309282663,b_1.symb
b_2.symb,-0.0120089757687849,b_2.symb
b_1.apo,0.19928811811664,b_1.apo
b_2.apo,-0.0251937595314192,b_2.apo
b_1.symb,0.226721341292325,b_1.symb
b_2.symb,-0.0064711299445656,b_2.symb
b_1.apo,0.171435467567074,b_1.apo
b_2.apo,-0.0260087915877034,b_2.apo
b_1.symb,0.221134775456648,b_1.symb
b_2.symb,-0.005958745529393,b_2.symb
b_1.apo,0.21421515785591,b_1.apo
b_2.apo,-0.0231427024984111,b_2.apo
b_1.symb,0.199741647110982,b_1.symb
b_2.symb,-0.0078172247734173,b_2.symb
b_1.apo,0.195912409366476,b_1.apo
b_2.apo,-0.0270330446795512,b_2.apo
b_1.symb,0.169472958375771,b_1.symb
b_2.symb,-0.0050610900601902,b_2.symb
b_1.apo,0.225988580681257,b_1.apo
b_2.apo,-0.0232854108260259,b_2.apo
b_1.symb,0.142363683924316,b_1.symb
b_2.symb,-0.0127031042218142,b_2.symb
b_1.apo,0.196489352979546,b_1.apo
b_2.apo,-0.0252409925383779,b_2.apo
b_1.symb,0.212002231565848,b_1.symb
b_2.symb,-0.0057820524783737,b_2.symb
b_1.apo,0.181946812475013,b_1.apo
b_2.apo,-0.0268096085466778,b_2.apo
b_1.symb,0.199573005598668,b_1.symb
b_2.symb,-0.0071600948629608,b_2.symb
b_1.apo,0.194600202126023,b_1.apo
b_2.apo,-0.0263355001452255,b_2.apo
b_1.symb,0.220400871467918,b_1.symb
b_2.symb,-0.0060024016203427,b_2.symb
b_1.apo,0.191876099673718,b_1.apo
b_2.apo,-0.0252290410493589,b_2.apo
b_1.symb,0.203014483189452,b_1.symb
b_2.symb,-0.0112907522190487,b_2.symb
b_1.apo,0.178067104367719,b_1.apo
b_2.apo,-0.0269437838948699,b_2.apo
b_1.symb,0.202443823632968,b_1.symb
b_2.symb,-0.0068348684826114,b_2.symb
b_1.apo,0.205921356228425,b_1.apo
b_2.apo,-0.0246466219589919,b_2.apo
b_1.symb,0.213471417113967,b_1.symb
b_2.symb,-0.0096800614667212,b_2.symb
b_1.apo,0.192871155567598,b_1.apo
b_2.apo,-0.0266643218402528,b_2.apo
b_1.symb,0.205082386073391,b_1.symb
b_2.symb,-0.0070457124668966,b_2.symb
b_1.apo,0.143618499383517,b_1.apo
b_2.apo,-0.0233919014151707,b_2.apo
b_1.symb,0.136794590402749,b_1.symb
b_2.symb,-0.0097203699403574,b_2.symb
b_1.apo,0.18488116690664,b_1.apo
b_2.apo,-0.0227041228038404,b_2.apo
b_1.symb,0.144446687833862,b_1.symb
b_2.symb,-0.0124600296262805,b_2.symb
b_1.apo,0.169633903159519,b_1.apo
b_2.apo,-0.0265216413606724,b_2.apo
b_1.symb,0.14434813378773,b_1.symb
b_2.symb,-0.0098941876309552,b_2.symb
b_1.apo,0.180400242750524,b_1.apo
b_2.apo,-0.0260584477455835,b_2.apo
b_1.symb,0.134238364823157,b_1.symb
b_2.symb,-0.0127480919453495,b_2.symb
b_1.apo,0.166846077048724,b_1.apo
b_2.apo,-0.0256162298914628,b_2.apo
b_1.symb,0.133036919722734,b_1.symb
b_2.symb,-0.0079482908463733,b_2.symb
b_1.apo,0.195920185893874,b_1.apo
b_2.apo,-0.0248983972796961,b_2.apo
b_1.symb,0.213687621253569,b_1.symb
b_2.symb,-0.0073588829144947,b_2.symb
b_1.apo,0.196486163428055,b_1.apo
b_2.apo,-0.0237103691109285,b_2.apo
b_1.symb,0.134669340323357,b_1.symb
b_2.symb,-0.013066948033196,b_2.symb
b_1.apo,0.189126287819685,b_1.apo
b_2.apo,-0.0259249390277206,b_2.apo
b_1.symb,0.139868548883749,b_1.symb
b_2.symb,-0.0120922292677268,b_2.symb
b_1.apo,0.203138052561146,b_1.apo
b_2.apo,-0.0231792724686114,b_2.apo
b_1.symb,0.202850464324382,b_1.symb
b_2.symb,-0.0089155129518759,b_2.symb
b_1.apo,0.186642791842453,b_1.apo
b_2.apo,-0.0244025180681689,b_2.apo
b_1.symb,0.136509644116019,b_1.symb
b_2.symb,-0.0101893557438576,b_2.symb
b_1.apo,0.194219954345887,b_1.apo
b_2.apo,-0.0196006409401963,b_2.apo
b_1.symb,0.217618004742993,b_1.symb
b_2.symb,-0.0070071252355427,b_2.symb
b_1.apo,0.211445644065356,b_1.apo
b_2.apo,-0.0235781708830081,b_2.apo
b_1.symb,0.142839720891259,b_1.symb
b_2.symb,-0.0141090569488642,b_2.symb
b_1.apo,0.207903601844742,b_1.apo
b_2.apo,-0.0248742275664323,b_2.apo
b_1.symb,0.13892180827699,b_1.symb
b_2.symb,-0.0132125181547722,b_2.symb
b_1.apo,0.177241841008786,b_1.apo
b_2.apo,-0.0241422794841899,b_2.apo
b_1.symb,0.243164585054946,b_1.symb
b_2.symb,-0.0104117496672649,b_2.symb
